car_make,car_model,date,count,mean_price,sd_price,new,sold
BMW,i8,2024-02-14,125,89126.304,19833.554377100925,0,0
BMW,i8,2024-02-15,132,46897.12827842879,28073.13228549888,7,0
Ferrari,348,2024-02-14,61,96498.54098360655,38600.339518616405,0,0
Ferrari,348,2024-02-15,65,56851.35477423077,46378.07793451323,4,0
Ferrari,412,2024-02-14,7,114892.85714285714,69614.0456886601,0,0
Ferrari,412,2024-02-15,9,41973.55675088889,27642.72849694435,2,0
Ferrari,488 Spider,2024-02-14,86,261735.03488372092,32914.740345482496,0,0
Ferrari,488 Spider,2024-02-15,92,125467.03975673697,80771.68574439564,6,0
